Evento;Fecha;Hora;Latitud;Longitud;Prof. (Km);Inten.;Mag.;Epicentro;Estación;Dist.epic.(km);Aceleración máxima(mg) N-S;Aceleración máxima(mg) V;Aceleración máxima(mg) E-W
970250;05/02/2010;15:10:06;28.4390;-16.2340;28;IV;4.5;SE SANTA CRUZ DE TENERIFE.ITF;Santa Cruz de Tenerife (SANTA CRUZ DE TENERIFE);4.0;1.98;2.46;4.78
es2021rxzkq;12/09/2021;23:46:55;28.5683;-17.8524;9;II-III;3.4;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.8;3.78;3.24;4.10
es2021ryfxv;13/09/2021;03:02:56;28.5726;-17.8626;9;;3.1;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);10.9;2.85;2.21;3.44
es2021ryggx;13/09/2021;03:13:31;28.5728;-17.8521;9;II-III;3.3;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.4;3.76;3.02;4.50
es2021sahhb;14/09/2021;06:00:00;28.5780;-17.8790;9;III;3.5;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);9.8;2.51;3.39;3.43
es2021sjnfy;19/09/2021;07:12:27;28.6152;-17.8694;;III;3.2;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.6;1.89;1.56;2.47
es2021sjsmw;19/09/2021;09:52:03;28.6125;-17.8675;1;III;3.2;SE EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.9;1.73;1.62;1.85
es2021sjtgv;19/09/2021;10:16:45;28.6163;-17.8695;;III-IV;3.8;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.5;10.26;7.83;9.75
es2021smjdw;20/09/2021;20:32:46;28.6148;-17.9010;;III;3.8;SE TAZACORTE.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);5.2;12.50;9.40;11.09
es2021snacw;21/09/2021;05:06:50;28.6262;-17.8998;1;III;3.2;SW EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);4.0;2.19;3.87;2.30
es2021teqei;30/09/2021;20:30:12;28.5790;-17.8483;13;III;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.0;1.88;3.50;2.24
es2021tfzgw;01/10/2021;14:13:01;28.5621;-17.8530;10;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.4;4.19;3.00;5.27
es2021thqva;02/10/2021;12:12:45;28.5611;-17.8423;11;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.0;2.46;5.38;3.33
